group	t1	t2	winner	date
D	KC	BTS	1	10-3
D	XL	S04	2	10-3
B	RGE	PSG	1	10-3
B	DWG	JDG	1	10-3
C	GEN	LGD	1	10-3
C	TSM	FNC	2	10-3
A	MCX	TL	1	10-4
A	G2	SN	1	10-4
B	RGE	DWG	2	10-4
B	PSG	JDG	2	10-4
C	GEN	TSM	1	10-4
C	LGD	FNC	1	10-4
A	MCX	G2	2	10-5
A	TL	SN	2	10-5
B	DWG	PSG	1	10-5
B	JDG	RGE	1	10-5
D	KC	XL	1	10-5
D	S04	BTS	2	10-5
A	G2	TL	2	10-6
A	SN	MCX	1	10-6
D	KC	S04	1	10-6
D	XL	BTS	1	10-6
C	FNC	GEN	1	10-6
C	TSM	LGD	2	10-6
A	TL	G2	TBD	10-8
A	MCX	SN	TBD	10-8
A	G2	MCX	TBD	10-8
A	SN	TL	TBD	10-8
A	TL	MCX	TBD	10-8
A	SN	G2	TBD	10-8
B	PSG	DWG	TBD	10-9
B	RGE	JDG	TBD	10-9
B	DWG	RGE	TBD	10-9
B	JDG	PSG	TBD	10-9
B	PSG	RGE	TBD	10-9
B	JDG	DWG	TBD	10-9
C	FNC	TSM	TBD	10-10
C	LGD	GEN	TBD	10-10
C	TSM	GEN	TBD	10-10
C	FNC	LGD	TBD	10-10
C	LGD	TSM	TBD	10-10
C	GEN	FNC	TBD	10-10
D	KC	BTS	TBD	10-11
D	XL	S04	TBD	10-11
D	KC	S04	TBD	10-11
D	BTS	XL	TBD	10-11
D	XL	KC	TBD	10-11
D	S04	BTS	TBD	10-11
